genotype	treatment	GOX	HPR	POX	APX	GPX	CAT	GST	SOD	DHAR	MDHAR	AO	GR	Grxs	Trxs	Prxs	Frxs	MDA	TAC	Poly	ProtOx
121099	DRO	1.234	0.984	0.393	-0.148	-0.724	1.356	-0.554	2.476	-1.456	-0.87	-0.836	-1.538	-1.137	1.836	1.385	-0.028	1.472	0.675	1.555	-0.181
121100	DRO	0.998	0.778	0.381	-0.101	-0.688	1.202	-0.519	2.642	-1.347	-0.804	-0.932	-1.495	-1.26	1.964	1.388	0.04	1.395	0.67	1.968	-0.089
121101	DRO	1.186	0.907	0.493	0.328	-0.706	1.775	-0.646	2.319	-0.91	-0.613	-0.863	-1.523	-1.347	2.002	1.467	-0.08	1.46	0.668	2.072	-0.112
121102	DRO	0.966	0.32	0.495	-0.123	-0.678	1.488	-0.562	2.458	-1.119	-0.487	-0.955	-1.602	-1.161	2.042	1.414	0.095	1.393	0.762	1.211	-0.169
121104	DRO	0.81	0.206	0.431	0.204	-0.71	1.772	-0.554	2.426	-1.229	-0.616	-0.886	-1.398	-1.328	1.907	1.386	-0.126	1.508	0.661	1.7	-0.108
121105	DRO	0.728	0.492	0.333	0.224	-0.777	1.653	-0.506	2.487	-1.102	-0.478	-0.907	-1.921	-1.201	1.99	1.28	-0.095	1.284	1.173	1.677	-0.236
121110	DRO	1.153	0.813	0.502	-0.027	-0.359	1.353	-0.724	2.62	-0.762	-0.539	-0.799	-1.398	-1.161	2.023	1.496	0.06	1.302	0.715	2.057	-0.09
121111	DRO	0.882	0.328	0.458	-0.216	-0.708	0.925	-0.863	2.444	-0.955	-0.447	-0.979	-1.456	-1.252	1.927	1.246	-0.011	1.608	1.248	2.157	-0.194
121118	DRO	0.859	0.568	0.433	0.352	-0.866	1.839	-0.401	2.475	-0.943	-0.3	-0.9	-1.796	-1.086	1.968	1.411	-0.016	1.296	1.258	1.946	-0.068
121122	DRO	1.079	1.022	0.376	0.232	-0.73	1.763	-0.431	2.562	-0.873	-0.807	-0.783	-1.553	-1.215	1.984	1.376	-0.074	1.623	1.255	2.442	-0.12
121124	DRO	0.974	0.809	0.28	0.355	-0.81	1.899	-0.513	2.473	-0.854	-0.3	-1.097	-1.796	-1.027	1.965	1.331	-0.054	1.254	1.163	1.407	-0.087
121127	DRO	1.128	0.971	0.449	-0.018	-0.728	1.497	-0.536	2.621	-1	-0.561	-0.979	-1.602	-0.975	1.969	1.451	-0.001	1.567	0.7	1.914	0.017
121130	DRO	0.796	0.639	0.291	0.381	-0.851	1.911	-0.559	2.448	-0.947	-0.627	-1.137	-1.745	-1.119	2.028	1.35	-0.025	1.379	0.764	1.678	-0.032
121131	DRO	1.095	0.91	0.23	-0.09	-0.693	1.437	-0.516	2.647	-1.284	-0.876	-0.907	-1.77	-1.041	1.885	1.21	-0.064	1.435	0.776	1.939	-0.142
121136	DRO	0.591	0.658	0.284	-0.096	-0.735	1.815	-0.693	2.545	-1.137	-0.351	-0.839	-1.77	-0.991	2.167	1.232	0.154	1.331	1.238	1.778	-0.173
121137	DRO	0.977	0.54	0.569	-0.178	-0.708	0.513	-0.783	2.6	-1.066	-0.688	-0.879	-1.444	-1.208	1.962	1.539	0.042	1.353	0.85	2.126	-0.163
121139	DRO	1.062	0.922	0.334	-0.111	-1.022	1.152	-0.469	2.667	-1.602	-0.747	-0.836	-1.721	-0.991	2.016	1.289	0.012	1.528	0.734	1.805	-0.142
121140	DRO	1.033	0.725	0.481	0.271	-0.664	1.897	-0.597	2.91	-1.301	-0.593	-0.943	-1.824	-0.963	2.144	1.443	0.119	1.745	0.772	1.897	-0.011
121141	DRO	0.824	0.45	-0.167	0.009	-0.636	1.874	-0.573	2.84	-1.131	-0.742	-0.873	-0.951	-0.848	2.243	0.823	0.236	1.226	0.603	0.907	-0.066
121142	DRO	0.722	0.325	0.501	0.073	-0.582	1.985	-0.726	3.026	-1.237	-1.004	-0.873	-0.807	-0.764	2.362	1.458	0.276	1.435	0.471	1.87	0.051
121144	DRO	0.902	0.417	0.356	0.308	-0.79	1.777	-0.526	2.471	-1.114	-0.697	-1.027	-1.658	-1.252	1.967	1.377	0.002	1.291	0.719	1.388	-0.104
121146	DRO	1.09	0.799	0.381	-0.083	-0.69	1.416	-0.66	2.635	-1.569	-1.022	-0.914	-1.553	-1.086	1.885	1.38	-0.042	1.607	0.587	1.559	-0.087
121147	DRO	0.866	0.52	0.339	0.413	-0.658	1.926	-0.485	2.51	-0.68	-0.286	-0.876	-1.678	-1.125	2.049	1.389	0.011	1.133	1.075	1.874	-0.066
121151	DRO	0.909	0.82	0.295	0.269	-0.775	1.762	-0.53	2.476	-0.979	-0.427	-1.041	-1.62	-1.215	1.886	1.349	-0.095	1.433	1.009	1.748	-0.163
121152	DRO	0.832	0.481	0.42	-0.053	-0.693	0.795	-0.599	2.613	-1.244	-0.678	-1.013	-1.77	-1.328	1.916	1.419	-0.017	1.389	0.711	2.097	-0.064
121153	DRO	1.01	0.426	0.289	-0.02	-0.759	1.246	-0.567	2.665	-1.276	-0.762	-0.975	-1.62	-1.244	1.97	1.298	0.049	1.332	0.673	2.023	-0.08
121156	DRO	0.943	0.607	0.442	-0.135	-0.668	0.85	-0.762	2.511	-2.398	-0.883	-0.848	-1.409	-1.252	1.988	1.334	0.039	1.575	0.826	2.373	-0.105
121157	DRO	1.181	1.149	0.475	0.009	-0.654	1.208	-0.445	2.658	-1.367	-0.726	-0.947	-1.456	-0.939	2.011	1.489	0.059	1.607	0.536	1.583	0.039
121158	DRO	0.964	0.837	0.375	0.375	-0.738	1.895	-0.483	3.077	-0.936	-0.407	-0.996	-2.097	-0.959	2.135	1.372	0.133	1.408	0.744	1.427	-0.041
121159	DRO	1.083	0.628	0.417	-0.105	-0.75	0.322	-0.81	2.626	-1.538	-0.936	-0.947	-2.097	-1.137	1.925	1.413	-0.048	1.547	0.824	2.205	-0.119
121161	DRO	1.031	0.596	0.49	-0.087	-0.678	1.391	-0.644	2.73	-1.398	-0.943	-0.866	-1.585	-1.06	1.821	1.506	-0.061	1.408	0.668	1.707	-0.131
121162	DRO	1.027	0.873	0.441	-0.069	-0.851	0.675	-0.642	2.521	-1.26	-0.672	-0.876	-1.886	-1.086	2.004	1.45	0.044	1.27	0.569	1.862	-0.116
121163	DRO	1.052	1.117	0.365	-0.061	-0.724	1.847	-0.391	2.664	-1.022	-0.538	-0.955	-1.638	-0.924	2.141	1.315	0.14	1.291	0.786	1.078	-0.116
121164	DRO	0.961	0.492	0.323	-0.097	-0.48	0.642	-0.577	2.594	-1.071	-1.041	-0.893	-1.678	-1.036	1.961	1.274	0.025	1.466	0.84	2.233	-0.148
121165	DRO	1.161	1.013	0.411	-0.081	-0.708	1.726	-0.377	2.625	-1.959	-0.678	-0.879	-1.854	-1.174	2.085	1.386	0.078	1.764	0.878	2.011	-0.084
121169	DRO	0.795	0.352	0.164	0.366	-0.812	1.896	-0.548	2.448	-0.876	-0.412	-1.108	-1.854	-1.222	1.954	1.192	-0.06	1.212	0.653	1.294	-0.057
121172	DRO	1.11	0.939	0.45	-0.06	-0.633	1.456	-0.562	2.66	-1.509	-0.801	-0.821	-1.658	-1.046	1.887	1.449	-0.047	1.547	0.662	1.651	-0.06
121176	DRO	0.983	0.538	0.56	-0.117	-0.478	1.041	-0.721	2.573	-1.444	-0.943	-0.836	-1.699	-1.119	1.905	1.501	-0.07	1.421	0.73	2.196	-0.126
121225	DRO	1.116	0.885	0.51	-0.077	-1.921	1.395	-0.547	2.438	-1.377	-0.836	-0.783	-1.569	-1.114	1.915	1.472	0	1.26	0.661	1.619	-0.138
121235	DRO	0.818	0.523	0.365	0.327	-0.735	1.871	-0.569	2.42	-0.914	-0.298	-1.051	-1.553	-1.301	1.994	1.402	-0.069	1.389	0.756	1.876	-0.079
121237	DRO	1.047	0.531	0.339	0.573	-0.759	2.024	-0.593	2.39	-1.066	-0.772	-1.051	-1.854	-1.051	2.104	1.365	0.127	1.164	0.34	1.503	0.097
121576	DRO	1.065	0.771	0.406	-0.097	-0.644	1.384	-0.532	2.54	-1.276	-0.559	-0.827	-1.538	-0.932	1.85	1.281	-0.007	1.462	0.829	1.747	-0.128
121642	DRO	0.786	0.524	0.329	-0.174	-0.735	1.68	-0.618	2.577	-0.788	-0.438	-0.991	-1.824	-0.815	1.993	1.318	-0.055	1.426	0.76	1.309	-0.179
121663	DRO	0.849	0.678	0.383	0.075	-0.71	1.95	-0.553	2.428	-0.883	-0.514	-1.081	-1.638	-1.187	2.075	1.497	0.086	1.665	0.511	1.881	0.167
121689	DRO	0.707	0.441	0.276	0.389	-0.842	1.851	-0.467	2.537	-0.975	-1	-1.032	-2	-1.086	2.08	1.316	0.068	1.088	0.673	1.916	-0.051
121705	DRO	0.863	0.455	0.609	0.045	-0.68	1.887	-0.389	2.69	-0.609	-0.848	-0.963	-1.086	-0.733	1.859	1.57	-0.131	1.357	0.664	1.633	0.041
121708	DRO	0.948	1.035	0.309	0.198	-0.654	1.773	-0.827	2.165	-1.328	-0.484	-0.893	-1.523	-1.31	2.012	1.312	-0.035	1.565	0.654	1.839	-0.085
121716	DRO	0.619	-0.005	0.429	0.478	-0.532	1.894	-0.372	2.629	-0.714	-0.521	-0.745	-1.538	-1.081	2.122	1.463	0.09	1.076	0.77	2.007	-0.02
121717	DRO	0.87	0.464	0.325	0.483	-0.578	1.94	-0.398	2.583	-0.886	-0.348	-0.896	-1.959	-0.979	2.066	1.335	0.101	1.483	1.396	2.539	0
121721	DRO	0.75	0.756	-0.228	-0.012	-0.77	1.893	-0.506	2.859	-0.903	-0.818	-1	-1.744	-0.824	2.325	0.737	0.229	0.93	0.591	0.869	-0.071
121725	DRO	1.008	0.75	0.29	0.261	-0.757	1.714	-0.59	2.417	-1.252	-0.947	-0.928	-1.886	-1.31	1.948	1.281	-0.084	1.669	0.819	1.893	-0.128
121748	DRO	0.808	0.811	0.422	0.024	-0.633	1.949	-0.36	2.542	-0.907	-0.268	-0.932	-1.42	-0.943	2.33	1.379	0.199	1.428	1.098	1.954	0.011
121750	DRO	1.033	0.611	0.579	-0.14	-0.799	1.359	-0.672	2.67	-1.824	-1.092	-1.036	-1.824	-1.119	1.877	1.528	-0.067	1.508	0.584	1.748	-0.109
121751	DRO	0.936	1.016	0.204	0.219	-0.708	2.137	-0.322	3.365	-0.607	-0.102	-1.046	-1.268	-0.625	2.351	1.201	0.276	1.64	1.164	1.897	0.236
121752	DRO	0.596	0.164	0.263	-0.215	-2.523	1.615	-0.386	2.578	-0.873	-0.449	-0.967	-1.745	-1.056	1.971	1.228	-0.082	1.4	0.795	1.628	-0.25
121753	DRO	0.918	0.935	0.232	-0.2	-0.886	1.781	-0.644	2.553	-1.041	-0.348	-1.149	-1.77	-1.004	2.028	1.182	0.009	1.803	1.258	1.603	-0.102
121760	DRO	0.578	0.199	0.472	-0.076	-0.64	1.798	-0.564	2.509	-1.081	-2	-0.827	-1.602	-0.845	2.231	1.454	0.22	1.382	0.822	1.798	-0.125
121771	DRO	0.913	0.354	0.409	0.374	-0.75	1.94	-0.592	2.393	-0.987	-0.333	-0.863	-1.658	-1.18	2.053	1.44	0.097	1.514	0.635	0.939	0.035
121774	DRO	1.103	0.693	0.57	-0.029	-0.458	1.618	-0.521	2.663	-1.009	-0.726	-0.936	-1.432	-1.131	1.976	1.461	-0.028	1.275	0.693	1.816	-0.105
121785	DRO	1.019	0.776	0.642	0.012	-0.879	1.494	-0.545	2.742	-1.602	-0.752	-0.631	-1.658	-0.947	1.948	1.567	-0.058	1.504	0.385	1.493	0.016
121799	DRO	0.639	0.653	0.208	-0.068	-1.222	1.825	-0.542	2.863	-0.955	-0.631	-1.237	-1.824	-0.936	2.221	1.186	0.184	1.307	0.711	1.491	-0.072
121808	DRO	0.641	0.188	0.389	0.392	-0.588	1.893	-0.59	2.355	-0.735	-0.237	-0.833	-1.553	-1.194	2.007	1.395	-0.008	1.29	0.7	2.08	-0.045
121811	DRO	1.069	0.873	0.528	-0.025	-1.022	1.432	-0.55	2.541	-1.337	-0.322	-0.686	-1.444	-0.971	1.875	1.516	-0.108	1.562	0.527	1.632	-0.018
121812	DRO	0.772	0.664	0.065	0.066	-0.642	1.974	-0.577	2.969	-1.131	-0.556	-0.815	-1.569	-0.839	2.351	1.015	0.3	1.424	0.323	1.769	0.087
121821	DRO	0.726	0.021	0.484	0.53	-1.18	1.913	-0.714	2.267	-0.712	-0.544	-0.943	-1.602	-1.284	2.096	1.525	-0.062	0.774	0.673	2.289	-0.032
121823	DRO	0.812	0.865	0.486	0.073	-0.558	2.004	-0.48	2.994	-0.87	-0.32	-0.824	-1.854	-0.812	2.376	1.481	0.147	1.4	1.167	1.798	0.011
121827	DRO	0.877	0.246	0.479	-0.093	-0.793	1.803	-0.514	2.589	-1.013	-0.327	-0.78	-0.818	-1.051	2.11	1.412	0.11	1.44	0.71	1.205	-0.105
121829	DRO	0.626	0.473	0.292	0.439	-0.793	1.854	-0.415	2.58	-0.821	-0.369	-0.943	-1.745	-1.201	2.016	1.319	-0.029	0.773	1.007	2.349	-0.11
121830	DRO	1.027	0.645	0.495	-0.075	-0.936	1.403	-0.533	2.628	-1.921	-0.631	-0.73	-1.678	-1.056	1.846	1.5	-0.089	1.573	0.664	1.561	-0.073
121834	DRO	1.023	0.666	0.438	-0.018	-0.642	1.489	-0.495	2.674	-1.092	-0.331	-0.907	-1.602	-0.983	1.959	1.447	0.012	1.428	0.792	1.883	-0.028
121835	DRO	0.751	0.339	0.433	-0.064	-0.883	1.821	-0.553	2.642	-0.824	-0.474	-1.097	-1.509	-0.9	2.123	1.404	0.141	1.213	0.787	1.771	-0.086
121836	DRO	0.824	0.365	0.373	-0.117	-0.662	1.192	-0.788	2.493	-1.056	-0.66	-0.955	-1.42	-1.276	1.936	1.346	0.027	1.276	0.798	2.164	-0.175
121839	DRO	0.732	0.881	0.593	0.113	-0.507	2.05	-0.561	3.053	-0.893	-0.218	-0.74	-2.398	-0.767	2.42	1.551	0.199	1.516	1.147	1.683	0.08
121840	DRO	0.837	0.715	0.533	0.188	-0.672	1.755	-0.456	2.539	-1.066	-0.34	-0.812	-1.509	-1.268	2.028	1.549	-0.046	1.541	0.739	1.574	-0.098
121846	DRO	0.855	0.615	0.541	0.061	-0.59	1.901	-0.452	2.989	-0.577	-0.046	-0.81	-1.721	-0.983	2.44	1.511	0.398	1.275	0.742	1.736	0.012
121847	DRO	0.687	0.666	0.39	-0.012	-0.642	1.923	-0.465	2.804	-0.496	-0.049	-0.967	-1.155	-0.917	2.11	1.342	0.151	1.217	1.252	1.582	-0.07
121848	DRO	0.761	0.241	0.635	-0.026	-0.565	1.841	-0.449	2.649	-0.418	-0.32	-0.86	-1.569	-0.928	2.111	1.625	0.055	1.377	0.739	1.885	-0.03
121849	DRO	0.89	0.88	0.489	-0.014	-0.75	1.071	-0.434	2.488	-1.013	-0.29	-0.77	-1.745	-0.896	2.095	1.473	0.08	1.539	0.93	1.628	-0.02
121850	DRO	0.762	0.366	0.463	-0.052	-0.646	1.844	-0.485	2.7	-0.866	-0.34	-0.917	-1.678	-0.889	2.105	1.369	0.11	1.366	0.723	1.678	-0.069
121851	DRO	0.778	0.583	0.577	-0.024	-0.775	1.818	-0.334	2.601	-0.728	-0.446	-0.91	-1.538	-0.914	2.096	1.548	0.106	1.276	0.691	1.342	-0.055
121852	DRO	0.885	0.766	0.357	0.045	-0.648	1.921	-0.451	2.982	-1.076	-0.47	-0.917	-2	-0.833	2.348	1.298	0.281	1.436	0.776	0.685	0.024
121853	DRO	0.891	0.529	0.341	0.088	-0.556	1.96	-0.427	2.908	-0.695	-0.544	-0.851	-1.481	-0.788	2.264	1.296	0.25	1.294	0.664	1.352	0.045
121854	DRO	0.756	0.026	0.405	0.494	-0.87	1.873	-0.754	2.22	-0.71	-0.465	-0.815	-1.523	-1.357	2.02	1.419	-0.048	0.182	0.575	1.563	-0.053
121855	DRO	0.714	0.957	0.173	-0.069	-0.701	1.827	-0.521	2.77	-0.967	-0.474	-0.987	-1.699	-0.943	2.234	1.115	0.176	1.278	0.657	0.263	-0.09
121856	DRO	0.963	1.138	0.434	0.088	-0.73	2.014	-0.421	3.033	-0.507	-0.096	-0.851	-2	-0.772	2.213	1.418	0.172	1.202	1.225	1.758	0.024
121857	DRO	1.025	0.398	0.639	-0.004	-0.772	1.873	-0.385	2.688	-0.883	-0.438	-0.764	-1.553	-0.854	2.153	1.507	0.134	1.41	0.729	1.457	-0.026
121858	DRO	0.922	0.343	0.508	-0.069	-0.636	1.772	-0.452	2.454	-0.996	-0.317	-0.75	-1.367	-0.873	2.065	1.359	0.042	1.525	0.69	1.655	-0.049
121881	DRO	0.811	0.561	0.335	0.322	-0.815	1.834	-0.495	2.509	-1.26	-0.747	-0.812	-1.42	-1.237	2.017	1.348	0.065	1.449	0.601	0.948	-0.081
121889	DRO	0.766	-0.034	0.322	0.467	-0.738	1.908	-0.616	2.375	-0.66	-0.393	-1.076	-1.585	-1.187	2.031	1.322	-0.039	1.238	0.53	1.445	0.008
121963	DRO	0.656	0.808	0.053	-0.066	-0.623	1.843	-0.672	2.595	-1.18	-0.955	-0.842	-1.921	-0.979	2.187	1.025	0.155	1.465	0.51	0.833	-0.071
121965	DRO	0.824	0.48	0.331	0.439	-0.666	1.976	-0.551	2.426	-0.78	-0.439	-0.991	-1.62	-1.081	2.177	1.317	0.053	1.465	0.473	1.698	0.08
121990	DRO	0.913	0.976	-0.104	0.124	-0.618	2.017	-0.471	3.074	-1.222	-0.317	-0.777	-1.658	-0.921	2.253	0.91	0.236	1.595	0.858	1.136	0.106
122000	DRO	1.022	0.667	0.572	-0.1	-0.68	1.771	-0.513	2.494	-1.229	-0.394	-0.907	-1.553	-0.955	2.105	1.54	0.078	1.651	0.713	0.84	-0.088
122011	DRO	0.967	0.433	0.473	0.518	-0.625	1.991	-0.529	3.069	-0.757	-0.547	-0.936	-1.638	-0.836	2.217	1.407	0.231	1.572	0.708	1.743	0.063
122025	DRO	0.838	0.441	0.621	-0.012	-0.842	1.85	-0.481	2.559	-0.735	-0.456	-1.086	-1.699	-0.86	2.188	1.613	0.166	1.307	0.68	1.5	-0.029
122029	DRO	0.765	0.489	0.44	-0.157	-0.839	0.899	-0.519	2.546	-1.155	-0.754	-0.873	-1.678	-0.947	1.808	1.433	-0.114	1.425	0.778	1.712	-0.152
122076	DRO	0.726	0.376	0.388	0.337	-0.662	1.765	-0.519	2.473	-0.967	-0.815	-0.77	-1.456	-1.319	1.929	1.377	-0.077	1.299	0.661	1.916	-0.11
122088	DRO	0.83	0.52	0.326	-0.151	-0.9	1.745	-0.618	2.44	-0.86	-0.388	-1.244	-1.745	-1.125	2.133	1.281	0.058	1.458	0.781	1.582	-0.161
122089	DRO	0.623	0.407	0.364	-0.153	-0.876	1.758	-0.629	2.685	-0.807	-0.132	-1.119	-1.638	-1.114	2.053	1.302	0.006	1.301	1.088	1.885	-0.164
122090	DRO	0.577	0.055	0.3	0.424	-0.8	1.835	-0.747	2.229	-0.896	-0.524	-1.292	-1.602	-1.357	1.921	1.344	-0.119	1.088	0.55	1.821	-0.087
122091	DRO	0.571	-0.1	0.278	-0.107	-0.983	1.796	-0.583	2.617	-1.097	-0.636	-1.18	-1.481	-1.056	2.113	1.24	0.092	1.364	0.723	1.667	-0.127
122093	DRO	0.907	0.38	0.466	-0.22	-0.788	1.019	-0.833	2.743	-1.284	-0.62	-0.921	-1.495	-1.292	1.9	1.393	-0.043	1.458	0.853	2.405	-0.19
122094	DRO	0.888	0.364	0.529	-0.071	-0.672	1.235	-0.496	2.415	-1.131	-0.342	-0.775	-1.745	-0.991	1.999	1.553	0.044	1.358	1.254	1.981	-0.123
122098	DRO	0.489	0.021	0.047	-0.24	-0.873	1.623	-0.752	2.448	-1.208	-0.71	-1.119	-1.523	-1.071	1.885	0.995	0.024	1.311	0.818	1.068	-0.299
122099	DRO	0.676	0.189	0.251	-0.257	-0.9	1.613	-0.812	2.429	-1.328	-0.845	-1.051	-1.658	-1.036	1.973	1.229	0.085	1.326	0.775	1.065	-0.261
122112	DRO	0.65	0.433	0.459	-0.037	-0.893	1.807	-0.369	2.623	-1.06	-0.417	-0.839	-2.523	-0.896	2.299	1.416	0.309	1.325	0.812	1.595	-0.106
122140	DRO	0.739	-0.048	0.346	0.337	-0.648	1.815	-0.564	2.435	-0.851	-0.444	-0.876	-1.62	-1.208	1.884	1.378	-0.065	1.434	0.833	2.137	-0.095
122156	DRO	0.652	0.462	0.158	0.288	-0.733	1.706	-0.526	2.476	-1.187	-0.738	-0.83	-1.553	-1.284	1.968	1.139	-0.057	1.384	0.667	1.899	-0.176
122159	DRO	1.086	0.998	0.449	0.02	-0.714	1.507	-0.452	2.703	-1.237	-0.616	-0.996	-1.553	-0.959	2.017	1.477	0.086	1.386	0.625	1.526	-0.01
122179	DRO	0.747	0.46	0.323	0.068	-1.301	1.695	-0.381	2.64	-1.585	-0.726	-0.827	-1.432	-1.194	2.048	1.274	0.03	1.653	0.951	2.001	-0.192
122181	DRO	0.862	0.419	0.229	0.129	-1.066	1.738	-0.564	2.429	-1.174	-0.434	-0.866	-1.509	-1.284	1.967	1.245	-0.066	1.687	0.817	2.228	-0.091
122206	DRO	1.183	0.867	0.392	-0.004	-0.644	1.507	-0.551	2.718	-1.585	-0.947	-0.914	-1.886	-0.951	1.935	1.408	-0.002	1.479	0.591	1.545	-0.026
122232	DRO	0.825	0.793	0.214	-0.139	-0.812	1.747	-0.607	2.6	-1.444	-0.68	-1.086	-1.658	-1.092	2.162	1.189	0.137	1.775	0.713	1.376	-0.089
122236	DRO	0.671	0.497	0.27	-0.154	-0.796	1.727	-0.627	2.544	-1.032	-0.674	-1.081	-1.796	-0.907	1.999	1.242	-0.03	1.433	0.796	1.73	-0.162
122239	DRO	0.799	0.556	0.362	-0.027	-0.636	1.869	-0.519	2.802	-0.921	-0.585	-0.807	-1.538	-0.963	2.143	1.287	0.074	1.368	0.588	1.506	-0.041
122255	DRO	0.932	0.658	0.485	0.407	-0.599	1.859	-0.68	2.321	-0.839	-0.815	-0.839	-1.432	-1.237	1.961	1.484	-0.082	1.078	0.57	1.798	-0.069
122258	DRO	0.728	0.682	0.405	-0.127	-0.75	1.793	-0.658	2.412	-0.996	-0.273	-0.979	-1.678	-0.947	2	1.392	-0.004	1.416	1.131	1.507	-0.141
122272	DRO	0.75	0.621	0.436	0	-0.674	1.876	-0.38	2.841	-0.854	-0.444	-0.87	-1.77	-0.879	2.177	1.391	0.125	1.508	0.64	0.948	0.032
122284	DRO	0.965	0.682	0.615	0.004	-0.678	1.849	-0.276	2.775	-0.46	-0.041	-0.684	-1.62	-0.932	2.127	1.572	0.078	1.413	0.734	1.489	-0.004
122285	DRO	0.772	0.477	0.397	-0.074	-0.75	1.794	-0.458	2.715	-0.777	-0.21	-0.815	-1.553	-1.009	2.132	1.283	0.054	1.426	0.667	1.21	-0.03
122286	DRO	0.907	0.599	0.416	-0.045	-0.757	1.857	-0.569	2.762	-0.854	-0.5	-0.863	-1.432	-0.936	2.055	1.331	0.071	1.492	0.722	1.479	-0.059
122287	DRO	0.624	0.519	0.085	-0.097	-0.658	1.778	-0.562	2.516	-0.939	-0.629	-0.81	-2.046	-1.102	2.114	1.082	0.135	1.474	0.719	1.681	-0.095
122288	DRO	0.96	1.077	0.131	-0.032	-0.759	1.839	-0.599	2.882	-0.943	-0.52	-1.066	-2	-1.004	2.215	1.088	0.253	1.114	0.666	0.953	-0.1
122289	DRO	0.722	0.29	0.357	0.375	-0.712	1.882	-0.502	2.494	-0.754	-0.347	-0.932	-1.721	-1.149	2.039	1.383	0.024	1.335	0.704	2.04	-0.037
122290	DRO	0.851	0.564	0.464	-0.058	-1.086	1.49	-0.538	2.753	-0.845	-0.728	-1.032	-1.444	-0.955	1.956	1.466	-0.04	1.303	0.523	1.896	-0.007
122291	DRO	0.846	0.265	0.588	-0.03	-0.767	1.83	-0.348	2.608	-0.678	0.029	-0.693	-1.31	-0.924	2.095	1.536	0.109	1.402	1.239	1.769	-0.056
122298	DRO	0.749	0.2	0.539	-0.111	-0.742	1.734	-0.463	2.587	-0.921	-0.523	-0.91	-1.638	-0.883	2.127	1.505	0.232	1.428	0.969	1.882	-0.137
